,fish_id,group,treatment,exposure,attempts,last_flux,time_in_last_flux,resistance_index,lt,ls,wt,Kc,sex,blood_sugar
317,3BT01h01008,01h 1.0%,1.0,1,5.0,1.0,14.0,0.23333333333333334,3.5,2.5,0.31,1.984,male,147.0
318,3BT01h01009,01h 1.0%,1.0,1,5.0,1.0,59.0,0.9833333333333333,3.1,2.6,0.31,1.7637687756030953,male,135.0
319,3BT01h01010,01h 1.0%,1.0,1,5.0,1.0,14.0,0.23333333333333334,3.3,2.8,0.29,1.3210641399416911,female,132.0
320,3BT01h01011,01h 1.0%,1.0,1,3.0,2.0,41.0,2.3666666666666667,3.5,2.8,0.32,1.4577259475218662,female,198.0
321,3BT01h01012,01h 1.0%,1.0,1,2.0,5.0,7.0,10.583333333333334,3.2,2.6,0.26,1.4792899408284024,male,109.0
322,3BT01h01013,01h 1.0%,1.0,1,5.0,1.0,14.0,0.23333333333333334,3.2,2.6,0.25,1.4223941738734638,male,69.0
323,3BT01h01014,01h 1.0%,1.0,1,1.0,4.0,54.0,9.6,3.4,2.7,0.27,1.371742112482853,unidentified,38.0
325,3BT01h01016,01h 1.0%,1.0,1,3.0,3.0,11.0,3.55,2.5,1.9,0.11,1.6037323224959907,male,133.41666666666666
326,3BT24hCTR01,24h 0.0%,0.0,24,1.0,7.0,41.0,25.78333333333333,3.1,2.6,0.43,2.446517979062358,female,143.0
327,3BT24hCTR02,24h 0.0%,0.0,24,1.0,6.0,52.0,20.2,3.5,2.8,0.46,2.0954810495626828,female,229.0
328,3BT24hCTR03,24h 0.0%,0.0,24,2.0,3.0,51.0,5.55,2.9,2.4,0.21,1.5190972222222223,male,229.0
329,3BT24hCTR04,24h 0.0%,0.0,24,1.0,5.0,31.0,12.583333333333334,2.9,2.4,0.23,1.6637731481481486,male,159.0
330,3BT24hCTR05,24h 0.0%,0.0,24,1.0,7.0,29.0,24.383333333333333,3.5,2.8,0.42,1.9132653061224494,female,229.0
331,3BT24hCTR06,24h 0.0%,0.0,24,5.0,1.0,54.0,0.9,3.4,2.6,0.24,1.3654984069185252,male,229.0
332,3BT24hCTR07,24h 0.0%,0.0,24,2.0,4.0,31.0,8.066666666666666,3.2,2.6,0.22,1.2517068730086482,male,136.0
333,3BT24hCTR08,24h 0.0%,0.0,24,1.0,11.0,43.0,62.88333333333333,2.9,2.2,0.22,2.066115702479338,male,150.0
334,3BT24hCTR09,24h 0.0%,0.0,24,1.0,6.0,14.0,16.4,3.7,3.4,0.49,1.24669244860574,female,256.0
